,X,Y,PRIMARYDISTRICTCD,COMMON_NAME,TREEHEIGHT,DIAM,GENUS,HERITAGE,EXCEPTIONAL
3014,-122.305368975552,47.5621811360174,DISTRICT2,Sargent Cherry,0.0,10,Prunus,N,N
3015,-122.318337780642,47.5990977765246,DISTRICT2,Ruby (Red) Horse Chestnut,0.0,2,Aesculus,N,N
3016,-122.378964242275,47.6766937991025,DISTRICT6,Apple/Crabapple,0.0,11,Malus,N,N
3017,-122.36234037348,47.5695613225799,DISTRICT1,Norwegian Sunset Maple,0.0,2,Acer,N,N
3018,-122.349645582752,47.5247219105618,DISTRICT1,Akebono Cherry,0.0,11,Prunus,N,N
3019,-122.35631397342,47.6220331318746,DISTRICT7,American Sycamore,0.0,12,Platanus,N,N
3020,-122.345838431155,47.6832618339213,DISTRICT6,Dogwood,0.0,2,Cornus,N,N
3021,-122.347586247785,47.698676517867,DISTRICT5,Snowdrift Crabapple,0.0,2,Malus,N,N
3022,-122.256849850238,47.5164875384775,DISTRICT2,Cherry/Plum/Laurel,0.0,11,Prunus,N,N
3023,-122.384544597029,47.5719248326229,DISTRICT1,English Midland Hawthorn,0.0,11,Crataegus,N,N
3024,-122.383867544712,47.679465766584,DISTRICT6,Kousa Dogwood,0.0,8,Cornus,N,N
3025,-122.307261258238,47.6197916356818,DISTRICT3,Pyramidal (Pyramidal European),0.0,14,Carpinus,N,N
3026,-122.299941672939,47.6192390872941,DISTRICT3,Bitter Cherry,0.0,18,Prunus,N,N
3027,-122.3034453587,47.5553882089932,DISTRICT2,Norway Maple,0.0,14,Acer,N,N
3028,-122.302338845995,47.6028737362008,DISTRICT3,Red Maple,0.0,17,Acer,N,N
3029,-122.382899237105,47.667476689132,DISTRICT6,Allee Lacebark Elm,0.0,7,Ulmus,N,N
3030,-122.315966600265,47.7097232121036,DISTRICT5,Western Red Cedar,0.0,17,Thuja,N,N
3031,-122.347868771463,47.7310104350816,DISTRICT5,City Sprite Zelkova,0.0,2,Zelkova,N,N
3032,-122.360570501916,47.5213901731784,DISTRICT1,Purpleleaf Plum variety,0.0,19,Prunus,N,N
3033,-122.347587742785,47.6541927763462,DISTRICT6,Cherry/Plum/Laurel,0.0,6,Prunus,N,N
3034,-122.360992241643,47.6425411305381,DISTRICT7,Norway Maple,0.0,12,Acer,N,N
3035,-122.325803714213,47.7003896573899,DISTRICT5,Red Maple,0.0,9,Acer,N,N
3036,-122.394866182066,47.5667831619989,DISTRICT1,Aristocrat Pear,0.0,2,Pyrus,N,N
3037,-122.327069447474,47.7085277770618,DISTRICT5,Sweetgum,0.0,11,Liquidambar,N,N
3038,-122.383261307405,47.6573776925396,DISTRICT7,London Plane (Tree),0.0,20,Platanus,N,N
3039,-122.31290568695,47.6102064105459,DISTRICT3,Double Chinese Cherry,0.0,13,Prunus,N,N
3040,-122.282432455232,47.6848962850339,DISTRICT4,Scarlet Oak,0.0,1,Quercus,N,N
3041,-122.341931977935,47.7123648881607,DISTRICT5,Pacific Sunset Maple,0.0,7,Acer,N,N
3042,-122.310068323227,47.618263421804,DISTRICT3,Red Maple,0.0,15,Acer,N,N
3043,-122.264792774231,47.5197966484607,DISTRICT2,English Oak,0.0,14,Quercus,N,N
3044,-122.330868604839,47.6243217154562,DISTRICT7,English (Hedge) Maple,0.0,7,Acer,N,N
3045,-122.351851246998,47.6542182548661,DISTRICT6,Bigleaf Maple,0.0,20,Acer,N,N
3046,-122.351187198104,47.6289731279991,DISTRICT7,Kwanzan Flowering Cherry,0.0,7,Prunus,N,N
3047,-122.37452822071,47.6327399430219,DISTRICT7,Shore Pine,0.0,1,Pinus,N,N
3048,-122.267417569978,47.5224983151891,DISTRICT2,Hawthorn,0.0,8,Crataegus,N,N
3049,-122.343513028018,47.6381317795336,DISTRICT7,Eddie's White Wonder Dogwood,0.0,2,Cornus,N,N
3050,-122.302478237973,47.6049471083019,DISTRICT3,Allee Lacebark Elm,0.0,4,Ulmus,N,N
3051,-122.312635135342,47.6092625868206,DISTRICT3,Bigleaf Maple,0.0,26,Acer,N,N
3052,-122.3821851129,47.5174038104633,DISTRICT1,Shore Pine,0.0,12,Pinus,N,N
3053,-122.391288385063,47.5478729714584,DISTRICT1,"Persian Ironwood, Parrotia",0.0,3,Parrotia,N,N
3054,-122.391546978785,47.6913744573918,DISTRICT6,Mountain Hemlock,0.0,14,Tsuga,N,N
3055,-122.314739004892,47.5730876807163,DISTRICT2,(Pacific) Madrona,0.0,6,Arbutus,N,N
3056,-122.386746556996,47.6981789533044,DISTRICT6,(Smooth) Japanese Maple,0.0,5,Acer,N,N
3057,-122.396350918841,47.6694190389725,DISTRICT6,Apple/Crabapple,0.0,9,Malus,N,N
3058,-122.356486964018,47.6272488922772,DISTRICT7,Southern (Common) Catalpa,0.0,12,Catalpa,N,N
3059,-122.303190958779,47.555248458773,DISTRICT2,Higan (Spring) Cherry,0.0,15,Prunus,N,N
3060,-122.369460305826,47.5497273244015,DISTRICT1,Callery Pear,0.0,6,Pyrus,N,N
3061,-122.384411499179,47.5344017127354,DISTRICT1,Yoshino Cherry,0.0,2,Prunus,N,N
3062,-122.323907691075,47.6644825765027,DISTRICT4,Purpleleaf Plum variety,0.0,11,Prunus,N,N
3063,-122.280977439261,47.6823169128767,DISTRICT4,Blireiana Purpleleaf Plum,0.0,2,Prunus,N,N
